0 -7.9203 -8.5369 -7.7695 -8.585 -8.281 18.38 17.51 16.876 17.659
1 -7.5462 -8.2603 -7.4256 -8.299 -8.701 17.141 17.409 17.667 17.274
2 -7.8817 -8.4102 -8.0707 -8.263 -8.4587 18.375 17.755 16.585 17.967
3 -7.7664 -8.6707 -7.8137 -8.6492 -8.7061 16.777 17.69 16.355 17.347
4 -7.6775 -8.3682 -7.956 -8.2794 -8.7169 18.353 17.667 17.043 17.187
5 -7.6923 -8.7662 -7.7888 -8.6243 -8.3134 17.364 17.713 16.845 17.058
6 -7.5841 -8.8453 -7.7684 -8.3449 -8.508 17.119 16.952 17.576 18.08
7 -7.8503 -8.2826 -8.153 -8.145 -8.3195 18.213 17.668 16.624 18.069
8 -8.0378 -8.4872 -8.1047 -8.2279 -8.5923 18.118 17.561 16.877 17.547
9 -7.8917 -8.3407 -7.8177 -8.1933 -8.4603 18.279 17.555 16.661 17.894
